"SbjNum","Nquest","Data_ENTREVISTA","MUN","UF","REG","T_ZONA","T_RESID","D02","T_D01A_1","T_D01A_2","T_D01A_3","D01A_IDADE","D01A_FX_ID","D03","D06","D06a","D08","D07a","Q01","Q02a","Q02b","Q02c","Q02d","Q02e","Q02f","Q02g","Q03","Q04a","Q04b","Q04c","Q04d","Q05a","Q05b","Q05c","Q06","Q07a","Q07b","Q07c","Q07d","Q07e","Q07f","Q07g","Q07h","Q07i","Q07j","Q07l","Q07m","Q07n","Q07o","Q08","Q08b","Q09","Q10P1a","Q10P1b","Q10P2a","Q10P2b","Q10G1","Q10G2","Q10CD","Q10AL","Q10AL_DF","Q10S","Q11a","Q11b","Q11c","Q12","Q13","Q14A","Q14A2","Q14B","Q14B_agregada","Q14B2","Q14B2_agregada","Q14G1","Q14G1_agregada","Q14G2","Q14G2_agregada","Q14S1","Q14S1_agregada","Q14S2","Q14S2_agregada","Q14CD","Q14CD_agregada","Q14AL","Q14AL_agregada","Q14AL_DF","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16_8","Q16_9","Q16_10","Q16_11","Q16_12","Q16_13","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q17_10","Q17_11","Q17_12","Q17_13","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_10","Q18_11","Q18_12","Q18_13","Q19","Q22","Q23a","Q23b","Q23c","Q23d","Q24","Q25a","Q25b","Q26a","Q26b","Q27a","Q27b","Q27c","Q27d","Q28_codigos_desagregados","Q28_codigos_agregados1","Q29","Q30a","Q30b","Q30c","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q31_10","Q31_11","Q31_12","Q31_13","Q31_14","Q32","D04","D05","D09_RENDAF","D09a_FX_RENDAF","D09a_RENDAF","D11","D10","D10a","D12_COR","D12a","D20","ID_entrevistador","sexo_entrevistador","peso"
"177027343",11.0,"11/19/2022",5002704,50,3,1,1,1,8.0,4.0,1978.0,44.0,4,8,4,1,5,3,1,0,2,0,0,5,3,,3,2,5,2,1,4,3,4,10,3,2,3,3,4,3,3,3,4,3,1,1,2,3,2,1,2,1,4,1,1,50003,50001,97,97,,97,4,,,3,5,1,1,9,1,2,1,97,3,97,3,97,3,97,3,97,3,97,3,,5,0,0,0,0,0,0,0,0,0,0,96,96,0,96,10,96,96,0,0,96,96,96,0,96,96,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,4,2,2,,,2,5,5,3,3,4,4,4,1,15,5,2,1,1,1,1,1,1,3,1,3,2,2,2,1,1,2,1,1,2,3,2,12000,5,,5,4,,2,3,3.0,102.0,2,1.70432221671953
"177030963",12.0,"11/19/2022",5002704,50,3,1,1,2,28.0,2.0,1978.0,44.0,4,7,4,1,5,3,2,7,7,7,3,7,0,,3,1,5,1,1,5,97,1,10,4,4,1,1,4,1,4,1,4,1,4,1,1,1,2,3,3,5,,5,,,,,,,,,,2,3,1,1,1,9,1,2,1,50,4,50,4,97,3,97,3,97,3,97,3,,5,10,0,5,5,0,7,3,0,9,96,3,96,0,8,0,96,96,0,0,96,96,96,10,96,96,9,95,10,0,0,0,10,0,10,0,95,10,0,10,95,4,2,2,,,3,3,5,3,3,4,5,5,1,3,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,3,2,3000,3,,2,5,64,9,1,1.0,103.0,1,0.622126049286314
"177034839",13.0,"11/19/2022",5002704,50,3,1,2,1,13.0,3.0,1976.0,46.0,5,9,5,1,2,3,1,1,7,0,7,7,7,2,2,1,2,5,5,5,5,3,7,3,3,3,1,3,3,3,3,4,4,4,3,4,1,5,4,2,1,6,1,2,50008,50002,212,97,,50005,1,,,97,5,1,1,5,1,1,1,50005,1,50002,1,97,3,97,3,122,1,114,1,,5,3,0,0,0,5,3,3,3,5,0,3,0,96,0,0,0,0,5,4,96,5,5,5,2,96,10,4,10,8,7,0,3,3,4,0,6,7,95,5,0,97,2,97,,,2,5,4,4,4,4,4,4,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,3,1,1,2,2,3,2,8000,5,,2,3,,8,2,3.0,103.0,1,1.2779056281029
"177056492",14.0,"11/20/2022",5300108,53,3,1,1,1,18.0,1.0,1983.0,39.0,4,9,2,1,2,3,1,2,3,3,3,7,7,2,1,1,1,1,1,2,5,1,7,3,2,4,3,3,3,1,1,1,1,3,1,3,3,3,2,2,1,1,1,1,53002,,122,,60,53002,2,,,3,2,1,1,9,1,2,1,53007,1,53001,1,53002,1,53007,1,97,3,,,102,5,8,6,6,6,6,8,8,8,4,4,5,5,5,8,8,5,2,2,2,0,8,0,0,7,2,7,10,10,4,5,0,8,8,10,5,5,10,5,10,8,4,1,,8,2,2,5,5,3,3,1,1,2,2,4,4,1,2,2,2,1,2,2,3,3,2,2,3,3,3,1,3,1,2,2,1,2,6000,4,,1,5,2,1,4,3.0,104.0,2,0.33636643986992
"177057630",15.0,"11/20/2022",5300108,53,3,1,1,1,30.0,12.0,1983.0,38.0,4,7,2,1,3,2,3,0,7,7,5,2,3,,2,4,2,5,4,5,5,4,10,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,1,4,1,1,53002,,97,,97,53002,3,,,3,1,1,1,97,3,1,1,53009,1,53002,1,53007,1,97,3,97,3,,,97,3,3,3,3,3,3,3,3,3,3,5,3,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,97,97,96,96,96,96,96,96,96,96,96,96,96,95,4,2,2,,,2,5,5,3,4,1,4,4,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,3500,3,,3,5,2,8,2,4.0,104.0,2,0.883803420104405
"177057969",16.0,"11/20/2022",4106902,41,5,1,1,2,29.0,7.0,1999.0,23.0,2,5,2,1,2,3,4,0,0,0,1,7,0,,1,1,2,2,1,5,4,4,5,3,1,1,2,3,2,1,1,3,2,3,3,1,1,3,4,4,1,6,1,2,50,,60,60,,60,2,,,2,5,7,6,,,,,,,,,,,,,,,,,,5,96,5,96,96,10,96,96,5,96,96,96,96,96,5,0,5,96,10,5,96,96,96,96,5,96,5,3,3,95,95,10,95,95,95,95,95,95,95,95,5,2,1,,4,2,2,4,1,2,3,1,1,3,1,97,97,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2400,2,,5,3,,2,3,2.0,105.0,2,1.30471738200402
"177057970",17.0,"11/20/2022",4106902,41,5,1,1,1,25.0,9.0,2000.0,22.0,2,7,4,1,5,2,2,0,7,0,2,2,7,1,2,2,2,5,4,5,1,5,8,1,3,1,1,3,3,3,3,3,3,1,3,3,3,4,4,2,1,6,1,2,41007,,97,180,,41002,1,,,1,5,1,1,1,1,1,1,41009,1,,,41003,1,41003,1,97,3,97,3,,5,96,5,5,96,10,5,5,5,5,96,96,96,96,5,0,5,5,10,10,96,96,96,5,96,96,5,95,5,95,95,10,95,95,95,95,95,96,95,95,10,2,2,1,4,2,3,5,5,3,4,5,3,5,1,5,5,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,3008,3,,5,3,,8,2,2.0,105.0,2,0.818389245577353
"177057971",18.0,"11/20/2022",4106902,41,5,1,1,1,2.0,10.0,1990.0,32.0,3,7,6,1,3,3,2,0,0,0,3,3,7,1,1,1,1,5,3,3,3,1,7,3,2,3,1,4,2,2,2,97,97,3,2,1,3,2,2,1,1,4,1,1,41002,,276,368,,41007,2,,,3,2,1,1,9,1,2,1,41009,1,,,41005,1,41010,1,155,1,153,1,,5,96,96,1,0,0,97,96,0,0,0,96,96,0,5,8,6,6,0,0,96,0,0,2,8,0,96,3,6,3,5,0,0,5,3,0,0,5,8,5,10,2,2,2,,,3,5,5,3,2,4,3,3,1,30,2,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,1,1,1,2,3,2,7000,5,,3,3,,8,2,2.0,105.0,2,1.26962819291343
"177057972",19.0,"11/20/2022",4106902,41,5,1,1,2,1.0,5.0,1997.0,25.0,3,7,11,,,,4,0,7,0,0,0,7,3,4,97,2,4,4,4,4,4,6,3,2,4,4,4,3,4,1,4,3,4,2,1,3,5,4,5,1,6,1,2,41002,,97,97,,41002,1,,,3,1,1,1,5,1,1,1,41009,1,,,41003,1,97,3,97,3,97,3,,1,96,96,96,96,8,96,96,96,96,96,96,96,96,5,0,5,96,10,10,96,96,96,7,96,96,96,95,95,95,95,95,95,95,95,95,95,95,95,95,95,4,2,2,,,3,5,5,3,3,4,97,3,1,97,97,1,1,1,2,2,1,1,1,2,1,2,3,2,1,97,1,1,1,2,3,2,999997,97,2,2,3,,2,3,2.0,105.0,2,0.668172728671783
"177057973",20.0,"11/20/2022",4106902,41,5,1,1,2,15.0,12.0,1967.0,54.0,5,4,4,1,5,3,3,7,7,0,7,7,7,2,2,2,1,5,1,5,5,3,8,4,2,3,1,3,1,3,2,4,3,4,4,4,1,5,3,3,1,6,1,2,41007,,211,464,,41002,2,,,3,5,1,1,5,1,1,1,41002,1,,,97,3,41008,1,97,3,97,3,,5,7,2,2,0,10,96,96,6,6,96,96,96,96,5,0,2,96,10,4,96,96,7,9,96,96,9,5,6,1,95,0,97,3,3,4,97,97,97,5,0,2,2,2,,,2,5,5,3,4,4,3,4,1,20,20,2,2,2,2,1,1,1,2,2,2,3,3,1,3,2,1,3,2,1,4,2,3500,3,,2,3,,9,1,3.0,105.0,2,0.792769889358384
"177057974",21.0,"11/20/2022",4106902,41,5,1,1,1,24.0,1.0,1998.0,24.0,2,7,4,1,2,2,2,0,2,7,0,7,7,3,2,1,4,2,4,5,1,5,8,97,2,2,3,97,3,3,3,2,97,2,2,1,97,1,1,1,1,4,1,1,41002,,423,320,,41010,1,,,97,3,1,1,9,1,2,1,60,4,,,60,4,70,5,60,4,60,4,,5,5,10,0,96,0,96,97,97,0,5,2,0,97,0,10,3,96,0,0,96,96,0,0,2,96,0,95,10,5,95,0,95,95,5,0,5,95,95,95,9,3,1,,24,2,98,5,5,3,4,2,3,3,1,7,7,1,1,1,2,1,98,2,3,2,3,3,2,3,1,2,1,1,1,2,1,2,999997,97,5,1,5,66,8,2,6.0,105.0,2,1.42267377413461
"177059737",22.0,"11/20/2022",5300108,53,3,1,1,2,31.0,12.0,1971.0,50.0,5,4,2,1,6,3,3,0,3,0,0,7,7,2,4,2,4,1,1,4,4,1,5,3,2,3,2,4,3,1,3,1,3,3,2,3,3,2,2,2,1,4,1,1,53002,,113,,102,53006,2,,,3,5,1,1,9,1,2,1,53007,1,53001,1,97,3,97,3,97,3,,,97,5,96,96,96,96,0,96,96,96,96,96,10,96,0,0,10,96,96,0,4,96,96,96,0,96,96,0,96,10,96,96,0,96,96,10,0,8,10,96,10,10,5,1,,24,2,2,5,5,3,4,4,5,5,1,40,40,2,1,1,1,1,2,2,3,2,2,2,1,2,1,2,1,1,1,1,1,2,1500,2,,1,5,19,2,3,3.0,104.0,2,1.33312326362753
"177061217",23.0,"11/20/2022",5300108,53,3,1,2,1,14.0,2.0,1964.0,58.0,6,4,4,3,5,2,1,0,0,0,7,0,0,,2,4,3,3,1,1,1,3,3,4,1,4,4,4,1,97,1,4,1,4,4,1,4,5,3,5,1,6,1,2,53002,,122,,104,53002,1,,,4,1,1,1,9,1,2,1,53007,1,53001,1,97,3,97,3,97,3,,,97,5,96,0,96,96,10,96,96,96,10,96,96,96,96,3,0,96,96,10,10,96,96,96,7,96,96,96,8,3,0,10,10,9,4,7,9,96,0,96,0,10,4,2,1,4,1,3,5,2,2,2,5,5,5,1,10,10,2,2,2,2,1,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2600,3,,4,3,,8,2,5.0,104.0,2,1.45717833871789
"177062233",24.0,"11/20/2022",5300108,53,3,1,1,2,10.0,7.0,1964.0,58.0,6,7,14,,,,4,0,0,0,1,0,0,,5,2,2,2,5,2,4,2,2,3,3,1,1,4,3,4,1,3,2,1,4,1,1,2,2,2,1,50,1,50,50,,50,,50,50,4,4,,4,5,1,1,97,3,2,1,53007,1,53001,1,53009,1,53007,1,97,3,,,97,5,96,96,10,0,0,8,5,6,3,8,7,10,2,0,10,96,96,0,0,96,96,0,0,96,96,0,96,10,96,8,7,3,97,2,3,4,9,5,3,10,4,2,2,,,3,5,5,2,3,3,2,3,2,97,97,97,2,97,97,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1200,1,,2,3,,7,2,6.0,104.0,2,0.606262011073635
"177065494",25.0,"11/20/2022",5300108,53,3,1,1,1,27.0,6.0,1978.0,44.0,4,4,2,1,2,3,1,0,0,0,7,7,7,1,2,1,1,5,3,5,3,1,4,3,4,3,1,4,97,4,4,4,3,4,3,4,3,5,4,97,5,,5,,,,,,,,,,1,4,1,1,5,50,4,,,50,4,,,50,4,50,4,50,4,,,50,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,96,0,5,1,0,0,0,1,0,0,2,3,2,96,5,2,4,4,5,2,3,96,96,5,5,5,2,1,4,3,2,5,5,4,3,4,3,4,1,30,2,1,2,2,2,1,1,1,2,3,2,3,3,1,2,2,1,1,2,2,3,1,1600,2,,6,97,,8,2,1.0,104.0,2,0.9351647741703
"177067182",26.0,"11/20/2022",5300108,53,3,1,1,1,15.0,8.0,1992.0,30.0,3,4,4,2,5,3,4,3,3,0,3,7,7,2,3,2,5,1,1,5,5,4,0,4,3,2,4,4,2,2,1,4,2,3,2,1,2,3,3,3,4,,4,,,,,,,,,,2,4,1,1,1,5,1,1,1,53007,1,53001,1,97,3,97,3,97,3,,,97,5,96,0,0,10,10,8,8,7,8,0,0,0,0,10,0,0,0,10,10,0,96,96,5,5,0,10,96,10,10,0,0,10,10,0,0,10,0,0,10,0,5,1,,4,1,2,3,5,4,4,1,1,1,2,97,97,2,2,2,2,1,2,97,1,2,1,2,2,2,1,1,1,1,1,2,3,2,2000,2,,6,3,,2,3,1.0,104.0,2,1.26171972576749
"177067261",27.0,"11/20/2022",3502705,35,1,1,1,2,31.0,7.0,1984.0,38.0,4,9,6,1,2,3,1,0,7,0,7,7,7,2,2,1,2,5,4,5,5,5,0,4,4,4,1,4,4,4,4,4,4,4,4,4,4,5,4,5,1,6,1,2,35010,35001,237,201,,35008,1,,,4,1,1,1,5,1,1,1,97,3,97,3,97,3,97,3,,,128,1,,5,97,0,97,97,8,0,97,0,5,97,96,0,96,5,0,96,96,10,5,96,96,96,0,0,0,10,0,0,97,97,10,5,5,5,5,96,96,96,96,10,5,1,,4,1,2,5,5,4,4,4,2,5,2,30,2,2,2,2,2,2,1,1,3,1,2,1,3,1,1,2,3,3,3,2,2,2,6000,4,,2,5,5,8,2,3.0,106.0,1,0.868239321812495
"177067262",28.0,"11/20/2022",3502705,35,1,1,1,1,4.0,3.0,1962.0,60.0,6,5,6,1,2,3,3,0,7,0,3,4,0,,2,2,2,4,2,4,2,2,6,1,2,2,1,3,3,3,1,2,2,3,2,3,1,2,3,4,1,1,1,2,35010,35002,97,131,,35008,1,,,3,1,1,1,9,1,2,1,35004,1,35002,1,35005,1,97,3,206,1,197,1,,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,2,1,10,7,3,4,4,5,5,2,10,7,8,6,9,1,4,4,5,5,4,7,7,3,7,4,2,2,,,3,5,1,3,3,2,3,2,2,51,13,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,6000,4,,4,3,,2,3,4.0,106.0,1,1.74345908628485
"177089599",29.0,"11/21/2022",5103403,51,3,1,1,1,6.0,2.0,1977.0,45.0,5,6,4,3,5,2,4,7,7,7,7,7,7,2,3,2,5,5,1,5,5,1,2,4,4,3,4,4,3,4,4,4,4,1,3,4,3,4,4,3,1,98,1,98,98,,98,98,,98,4,,,3,1,1,1,98,777,98,777,98,777,,,98,777,98,777,98,777,98,777,,5,10,1,1,4,1,4,1,1,1,8,1,4,4,0,0,0,0,2,0,0,3,96,4,0,0,2,10,10,10,10,0,10,10,10,0,0,2,2,10,98,5,2,1,98,,2,4,98,3,1,1,1,3,1,6,20,1,2,2,2,1,3,1,2,2,1,2,3,1,1,2,1,1,1,1,3,2,4000,4,,5,3,,8,2,2.0,107.0,2,0.83620694951268
"177090709",30.0,"11/21/2022",5002704,50,3,1,1,1,6.0,9.0,1970.0,52.0,5,10,5,1,3,3,1,1,7,7,7,7,7,1,1,1,2,2,1,5,2,4,10,2,2,2,1,4,1,3,4,1,2,2,3,2,2,3,4,3,1,8,1,60,50004,50002,389,385,,50007,1,,,1,1,1,1,5,1,1,1,50006,1,50001,1,50009,1,50013,1,203,1,210,1,,5,6,2,1,1,5,8,5,8,1,1,2,2,4,1,1,2,2,6,6,1,7,1,3,1,1,7,0,10,5,7,0,2,5,5,1,1,5,5,5,5,1,2,2,,,2,3,3,3,2,4,3,3,1,1,1,2,2,2,2,2,2,2,1,2,2,3,3,1,1,2,1,1,2,2,2,2,5000,4,,1,5,1,5,2,3.0,102.0,2,0.735111760627162
"177091169",31.0,"11/21/2022",5103403,51,3,1,1,2,22.0,4.0,1983.0,39.0,4,9,1,1,1,3,3,7,7,2,0,7,7,2,2,4,1,4,1,5,5,5,7,3,2,3,4,4,4,4,1,4,4,4,1,3,1,5,4,5,1,8,1,2,51001,,242,329,,98,1,,,2,1,1,1,5,1,1,1,51002,1,,,97,3,97,3,97,3,97,3,,5,7,2,1,5,8,2,5,4,8,1,1,3,5,0,0,0,0,6,0,0,2,1,7,0,0,10,95,96,96,96,97,97,97,97,97,97,97,97,97,5,2,2,2,,,2,5,5,3,3,2,4,4,1,7,7,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,4500,4,,2,3,,7,1,4.0,107.0,2,0.546912669990849
